outcome,paired_seeds,mean_H8_D64,mean_H16_D32,mean_difference_H8_D64_minus_H16_D32,median_difference_H8_D64_minus_H16_D32,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_H8_D64,ties,losses_H8_D64,sd_paired_difference,paired_standardized_mean_difference_dz,holm_adjusted_sign_flip_p_value
maximum_logged_validation_binding,120,0.56956298828125,0.38439453125,0.18516845703125,0.14370117187500003,0.08925286865234373,0.27973876953125004,0.00024999875000624995,80,0,40,0.536049208781877,0.34543182602960737,0.0009999950000249998
test_binding_score,120,0.5696704101562501,0.38254638671875,0.18712402343750004,0.154833984375,0.08919677734375,0.2840967407226563,0.00025499872500637496,81,0,39,0.5437796884112694,0.3441173464647232,0.0009999950000249998
test_accuracy,120,0.6413920084635417,0.485455322265625,0.15593668619791667,0.1290283203125,0.07470494588216146,0.23620610555013022,0.00025499872500637496,81,0,39,0.45314974034272454,0.34411734646472314,0.0009999950000249998
maximum_logged_validation_accuracy,120,0.641302490234375,0.48699544270833334,0.15430704752604166,0.1197509765625,0.07511789957682292,0.23360010782877608,0.00024999875000624995,80,0,40,0.44670767398489747,0.34543182602960737,0.0009999950000249998
