phase,experiment,architecture_id,dataset,dataset_config,encoder,F,seed,validation_accuracy,validation_binding_score,test_accuracy,test_binding_score,primary_accuracy,maximum_logged_validation_accuracy,maximum_logged_validation_binding,entered_normalized_binding_regime,entered_regime_050,high_test_success_080,success,present_value_baseline,global_chance_accuracy,d_input,d_model,n_layers,n_heads,head_dim,inner_dim,d_ff,parameter_count,batch_size,max_steps,final_step,learning_rate,weight_decay,elapsed_seconds,final_gradient_norm_before_clipping,final_q_rms,final_k_rms,final_v_rms,final_attention_logit_std,final_attention_entropy,final_attention_max_probability,learning_curve_csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,200,0.992919921875,0.9905598958333334,,,0.992919921875,0.9931640625,0.9908854166666666,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,941.212673664093,1.500273823738098,1.46467528740565,1.5634180506070454,0.6781139671802521,6.657508154710134,0.4070569003621737,0.8373817304770151,agnews_capacity_mapping_H8_D32_F4_seed200.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,201,0.994384765625,0.9925130208333334,,,0.994384765625,0.99462890625,0.9928385416666666,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,944.3848650455476,1.909162163734436,1.4774589439233143,1.5723269681135814,0.686639408270518,6.384761492411296,0.4300478498140971,0.8287167946497599,agnews_capacity_mapping_H8_D32_F4_seed201.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,202,0.99267578125,0.990234375,,,0.99267578125,0.992919921875,0.9905598958333334,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,942.2019865512848,0.5301215648651123,1.4182953238487244,1.5625869433085124,0.6733358204364777,6.44425497452418,0.4326572666565577,0.8273685276508331,agnews_capacity_mapping_H8_D32_F4_seed202.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,203,0.99169921875,0.9889322916666666,,,0.99169921875,0.99169921875,0.9889322916666666,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,942.965125322342,2.42016339302063,1.5259387890497844,1.6344643235206604,0.6738485892613729,7.347442428270976,0.3931152696410815,0.8394239644209543,agnews_capacity_mapping_H8_D32_F4_seed203.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,204,0.99462890625,0.9928385416666666,,,0.99462890625,0.994873046875,0.9931640625,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,940.6047692298888,0.7222757339477539,1.4486283858617146,1.576261778672536,0.6812423566977183,6.4208812316258745,0.4099123602112134,0.8357269465923309,agnews_capacity_mapping_H8_D32_F4_seed204.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,205,0.993408203125,0.9912109375,,,0.993408203125,0.99365234375,0.9915364583333334,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,926.8101139068604,1.2871030569076538,1.4272866646448772,1.5451505184173584,0.6819114089012146,6.276233633359273,0.4272009929021199,0.8308104574680328,agnews_capacity_mapping_H8_D32_F4_seed205.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,206,0.991943359375,0.9892578125,,,0.991943359375,0.992431640625,0.9899088541666666,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,934.3233273029329,0.5043203234672546,1.5247052609920502,1.654482215642929,0.6722016533215841,7.458657324314117,0.3601348201433818,0.8584263920783997,agnews_capacity_mapping_H8_D32_F4_seed206.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,207,0.9921875,0.9895833333333334,,,0.9921875,0.9921875,0.9895833333333334,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,940.6307718753816,1.5388792753219604,1.482315182685852,1.6591050227483113,0.6711030801137289,7.424002965291341,0.3381164607902368,0.8696315983931223,agnews_capacity_mapping_H8_D32_F4_seed207.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,208,0.9931640625,0.9908854166666666,,,0.9931640625,0.994140625,0.9921875,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,941.9841232299804,1.2892205715179443,1.463057001431783,1.534521758556366,0.6782680451869965,6.11036894718806,0.4419604266683261,0.8230642676353455,agnews_capacity_mapping_H8_D32_F4_seed208.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,4,209,0.99267578125,0.990234375,,,0.99267578125,0.99267578125,0.990234375,True,True,False,True,0.25,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,941.882302761078,0.6501277685165405,1.4434921145439148,1.565423975388209,0.6784895757834116,6.490892191727956,0.4360921631256739,0.822879950205485,agnews_capacity_mapping_H8_D32_F4_seed209.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,200,0.98828125,0.9853515625,,,0.98828125,0.98876953125,0.9859619140625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1071.01109290123,1.4814274311065674,1.5345111687978108,1.72784290711085,0.6544758379459381,8.245660920937857,0.4396833131710688,0.827851821978887,agnews_capacity_mapping_H8_D32_F5_seed200.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,201,0.967041015625,0.95880126953125,,,0.967041015625,0.968017578125,0.96002197265625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1071.0865218639374,3.903378486633301,1.922937254110972,1.922699848810832,0.597636674841245,14.828349709510803,0.3575671936074893,0.8549508651097616,agnews_capacity_mapping_H8_D32_F5_seed201.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,202,0.973876953125,0.96734619140625,,,0.973876953125,0.973876953125,0.96734619140625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,205.6842484474182,2.3923275470733643,1.5776846011479695,1.7928876280784607,0.6216343144575754,9.710423906644186,0.3986468190948168,0.8412362237771353,agnews_capacity_mapping_H8_D32_F5_seed202.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,203,0.9736328125,0.967041015625,,,0.9736328125,0.9736328125,0.967041015625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1044.3597147464752,2.604244947433472,1.6693051556746166,1.834544161955516,0.6223031381766001,10.691216866175331,0.3862078686555226,0.8468891580899557,agnews_capacity_mapping_H8_D32_F5_seed203.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,204,0.97607421875,0.9700927734375,,,0.97607421875,0.976318359375,0.97039794921875,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1044.4131731987,2.45654559135437,1.5079750021298726,1.8179265062014265,0.6157719790935516,9.156123558680216,0.4097279533743858,0.838334341843923,agnews_capacity_mapping_H8_D32_F5_seed204.csv
agnews_capacity_mapping,load_normalized_agnews_capacity_mapping,H8_D32,AG News,,sentence-transformers/all-MiniLM-L6-v2,5,205,0.97216796875,0.9652099609375,,,0.97216796875,0.97314453125,0.9664306640625,True,True,False,True,0.2,0.0078125,384,512,6,8,32,256,3584,25448960,256,20000,20000,0.0001,0.0001,1042.2698895931244,4.175437927246094,1.5026830633481345,1.849838584661484,0.6373929679393768,9.859144687652588,0.4249331330259641,0.8314992984135946,agnews_capacity_mapping_H8_D32_F5_seed205.csv
