architecture_id,F,n_runs,mean_max_validation_accuracy,median_max_validation_accuracy,mean_max_validation_binding,median_max_validation_binding,n_normalized_regime_success,p_normalized_regime_success,success_ci_low,success_ci_high
H8_D32,3,10,0.9956298828125,0.9954833984375,0.99344482421875,0.99322509765625,10,1.0,0.6915028921812392,1.0
H8_D32,4,10,0.9932373046875,0.9930419921875,0.9909830729166667,0.99072265625,10,1.0,0.6915028921812392,1.0
H8_D32,5,10,0.9455322265625,0.9705810546875,0.931915283203125,0.963226318359375,10,1.0,0.6915028921812392,1.0
H8_D32,6,10,0.307177734375,0.1812744140625,0.16861328125000002,0.01752929687500001,2,0.2,0.02521072632683336,0.5560954623076415
H8_D32,7,10,0.153369140625,0.15380859375,0.012263997395833342,0.012776692708333343,0,0.0,0.0,0.3084971078187608
H8_D64,3,10,0.99833984375,0.9998779296875,0.997509765625,0.99981689453125,10,1.0,0.6915028921812392,1.0
H8_D64,4,10,0.9935302734375,0.9931640625,0.9913736979166666,0.9908854166666666,10,1.0,0.6915028921812392,1.0
H8_D64,5,10,0.9721435546875,0.9891357421875,0.965179443359375,0.986419677734375,10,1.0,0.6915028921812392,1.0
H8_D64,6,10,0.4818115234375,0.3485107421875,0.378173828125,0.218212890625,4,0.4,0.12155225811982719,0.7376219233930549
H8_D64,7,10,0.1622802734375,0.15478515625,0.022660319010416673,0.013916015625000009,0,0.0,0.0,0.3084971078187608
