architecture_id,F50,slope_k,converged,negative_log_likelihood_penalized,n_runs,n_success
H8_D32,5.898938710642375,13.71762442878149,True,5.008236624569148,50,32
H8_D64,5.969171424409319,13.153256195572789,True,6.734385730053293,50,34
