outcome,paired_seeds,mean_H8_D64,mean_H8_D32,mean_difference_H8_D64_minus_H8_D32,median_difference_H8_D64_minus_H8_D32,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_H8_D64,ties,losses_H8_D64
test_accuracy,40,0.399884033203125,0.1615234375,0.238360595703125,0.0693359375,0.1313044738769531,0.3457708740234375,7.999960000199999e-05,30,1,9
maximum_logged_validation_accuracy,40,0.413629150390625,0.17071533203125,0.242913818359375,0.0504150390625,0.1350152587890625,0.3527656555175781,9.4999525002375e-05,29,0,11
test_binding_score,40,0.2998647054036458,0.02177734375,0.2780873616536458,0.0808919270833333,0.1545909881591796,0.4051085154215495,7.999960000199999e-05,30,1,9
