architecture_id,n_runs,mean_final_test_accuracy,median_final_test_accuracy,std_final_test_accuracy,min_final_test_accuracy,max_final_test_accuracy,p_entered_regime_030,p_entered_regime_050,p_success_080,median_transition_step_030,median_transition_step_050,mean_max_validation_accuracy,mean_validation_auc,mean_accuracy_at_5000,mean_accuracy_at_10000,mean_late_gain
H8_D32,10,0.1908935546875,0.14013671875,0.15388618463228076,0.133056640625,0.627685546875,0.1,0.1,0.0,15000.0,16000.0,0.20654296875,0.1571937962582237,0.1396728515625,0.1427490234375,0.0328369140625
H8_D64,10,0.373486328125,0.1925048828125,0.3344885517436413,0.131591796875,0.95703125,0.3,0.3,0.2,11000.0,11000.0,0.3830322265625,0.25750925164473687,0.1407958984375,0.23125,0.0188232421875
H16_D32,10,0.219482421875,0.146728515625,0.23398085053566306,0.13525390625,0.885009765625,0.1,0.1,0.1,12000.0,13000.0,0.227978515625,0.1729954769736842,0.1405029296875,0.1404052734375,0.0014404296875
H16_D64,10,0.2382080078125,0.14306640625,0.1625430290603812,0.13623046875,0.642333984375,0.2,0.1,0.0,14500.0,15000.0,0.249462890625,0.17287212171052632,0.141162109375,0.1428955078125,0.0328369140625
