n_heads,d_head,F_star,slope,fit_converged,F_star_ci_low,F_star_ci_high,slope_ci_low,slope_ci_high,bootstrap_successful_fits,bootstrap_iterations
4,128,7.414078826623178,2.658572075432465,True,7.002416029886045,7.930616348957651,1.6784266102038126,20.877485755765893,5000,5000
8,64,6.808232685382302,3.174788677679204,True,6.425649312309566,7.129691633168068,1.8988554665450703,42.97785530111314,5000,5000
16,32,6.38847440229144,3.778628948298097,True,6.020940178089012,6.931076687799102,2.456264062726345,42.97785530111314,5000,5000
32,16,5.498358039294346,4.438164515876137,True,5.06358356326132,5.929040742697688,2.658570692915436,100.00000000000004,5000,5000
