outcome,paired_seeds,mean_H8_D64,mean_H8_D32,mean_difference_H8_D64_minus_H8_D32,median_difference_H8_D64_minus_H8_D32,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_H8_D64,ties,losses_H8_D64
test_accuracy,30,0.19439290364583334,0.14401041666666667,0.05038248697916667,0.001708984375,0.007153116861979168,0.10723490397135418,0.014639926800365998,19,0,11
maximum_logged_validation_accuracy,30,0.201220703125,0.151953125,0.049267578125,0.001953125,0.006672973632812501,0.10526550292968752,0.0008149959250203749,24,0,6
test_binding_score,30,0.06012505425347221,0.0013454861111111248,0.05877956814236109,0.0019938151041666505,0.00892469618055555,0.12557237413194441,0.014639926800365998,19,0,11
