corpus,load_F,n_paired_seeds,p_success_H8_D64,p_success_H8_D32,paired_risk_difference,ci_low,ci_high,exact_mcnemar_p_value,status
WikiText-103,7,40,0.35,0.025,0.325,0.175,0.5,0.0009765625,independent original-corpus confirmation
AG News,6,120,0.6,0.16666666666666666,0.43333333333333335,0.3333333333333333,0.5333333333333333,3.0655256978706635e-12,independent external confirmation
