outcome,paired_seeds,mean_H8_D64,mean_H8_D32,mean_difference_H8_D64_minus_H8_D32,median_difference_H8_D64_minus_H8_D32,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_H8_D64,ties,losses_H8_D64,sd_paired_difference,paired_standardized_mean_difference_dz,holm_adjusted_sign_flip_p_value
maximum_logged_validation_binding,120,0.56237548828125,0.1536865234375,0.40868896484375,0.31157226562499996,0.32529742431640635,0.49176098632812504,4.9999750001249995e-06,98,0,22,0.4667348712089739,0.8756340913314046,1.9999900000499998e-05
test_binding_score,120,0.5619482421875001,0.14603759765625002,0.41591064453124993,0.31845703125,0.33168109130859375,0.4997146606445312,4.9999750001249995e-06,98,0,22,0.47256094927691267,0.8801206387613154,1.9999900000499998e-05
test_accuracy,120,0.6349568684895833,0.28836466471354166,0.34659220377604166,0.265380859375,0.2756019083658854,0.4159473673502605,4.9999750001249995e-06,98,0,22,0.3938007910640939,0.8801206387613155,1.9999900000499998e-05
maximum_logged_validation_accuracy,120,0.6353129069010417,0.29473876953125,0.34057413736979164,0.2596435546875,0.2715796915690104,0.40912897745768234,4.9999750001249995e-06,98,0,22,0.38894572600747823,0.8756340913314046,1.9999900000499998e-05
