architecture_id,n_heads,head_dim,inner_dim,d_ff,F,n_runs,mean_test_accuracy,std_test_accuracy,mean_test_binding,n_success,p_success,parameter_count,mean_final_gradient_norm,mean_attention_entropy,mean_attention_logit_std
H16_D32,16,32,512,3072,7,10,0.219482421875,0.23398085053566306,0.08939615885416667,1,0.1,25448960,3.6397441625595093,1.638559650381406,3.379162108525634
H16_D64,16,64,1024,2048,7,10,0.2382080078125,0.1625430290603812,0.11124267578125002,0,0.0,25448960,4.035750460624695,1.514742766817411,7.14177233328422
H8_D32,8,32,256,3584,7,10,0.1908935546875,0.15388618463228076,0.05604248046875001,0,0.0,25448960,4.1986021280288695,1.2722128729025521,4.529413971304893
H8_D64,8,64,512,3072,7,10,0.373486328125,0.3344885517436413,0.2690673828125,2,0.2,25448960,4.283622455596924,1.3148901611566544,5.583124634623528
