effect,paired_seeds,mean_effect,median_effect,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,positive_seeds,zero_seeds,negative_seeds
head_width_main_effect_64_minus_32,10,0.1006591796875,0.028564453125,-0.06296936035156249,0.27270385742187486,0.306640625,6,0,4
head_count_main_effect_16_minus_8,10,-0.0533447265625,-0.00018310546875,-0.17291259765625,0.06762756347656249,0.4140625,5,0,5
interaction_difference_in_width_effects,10,-0.1638671875,-0.0091552734375,-0.4137005615234375,0.06924255371093745,0.2421875,4,0,6
simple_width_effect_at_8_heads,10,0.1825927734375,0.009033203125,-0.03721740722656249,0.4189508056640624,0.169921875,6,0,4
simple_width_effect_at_16_heads,10,0.0187255859375,0.0025634765625,-0.183399658203125,0.18444946289062497,0.8359375,6,0,4
simple_head_effect_at_width_32,10,0.0285888671875,0.0047607421875,-0.138013916015625,0.2242919921875,0.70703125,7,0,3
simple_head_effect_at_width_64,10,-0.1352783203125,-0.05126953125,-0.31752197265625,0.017243041992187402,0.1875,4,0,6
