contrast,architecture_a,architecture_b,paired_seeds,mean_difference_a_minus_b,median_difference_a_minus_b,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_value,wins_a,ties,losses_a
width_64_minus_32_at_8_heads,H8_D64,H8_D32,10,0.1825927734375,0.009033203125,-0.0344732666015625,0.422950439453125,0.169921875,6,0,4
width_64_minus_32_at_16_heads,H16_D64,H16_D32,10,0.0187255859375,0.0025634765625,-0.1826214599609375,0.18474365234374998,0.8359375,6,0,4
heads_16_minus_8_at_width_32,H16_D32,H8_D32,10,0.0285888671875,0.0047607421875,-0.138428955078125,0.224169921875,0.70703125,7,0,3
heads_16_minus_8_at_width_64,H16_D64,H8_D64,10,-0.1352783203125,-0.05126953125,-0.315675048828125,0.020045776367187473,0.1875,4,0,6
largest_inner_minus_smallest_inner,H16_D64,H8_D32,10,0.047314453125,0.0069580078125,-0.1105224609375,0.19189758300781246,0.513671875,8,0,2
